gene_id	TCGA-BC-A10T-11A-11R-A131-07	TCGA-DD-A1EC-11A-11R-A131-07	TCGA-DD-A1EH-11A-11R-A131-07	TCGA-DD-A39V-11A-11R-A213-07	TCGA-DD-A39W-11A-11R-A213-07	TCGA-DD-A39X-11A-11R-A213-07	TCGA-EP-A12J-11A-11R-A131-07	TCGA-ES-A2HT-11A-11R-A180-07	TCGA-BC-A216-11A-11R-A155-07	TCGA-BD-A2L6-11A-21R-A213-07	TCGA-DD-A114-11A-12R-A131-07	TCGA-DD-A118-11A-11R-A131-07	TCGA-DD-A1EI-11A-11R-A131-07	TCGA-DD-A1EL-11A-11R-A155-07
ENSG00000175220.12	1557	2348	1412	1456	2028	2383	1389	2481	1472	3304	2510	1221	2449	2347
ENSG00000175221.15	1274	1792	2015	1711	2301	2422	1720	2032	1447	1619	2530	932	3650	2544
ENSG00000175224.16	1278	2670	1868	1872	2394	2133	1451	2845	1776	3149	3097	1233	2605	2856
ENSG00000175229.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175262.14	0	9	11	3	5	5	4	6	9	35	8	6	2	5
ENSG00000175264.8	61	72	48	42	38	37	40	51	45	92	59	22	66	61
ENSG00000175265.17	3	250	88	72	4	27	6	90	84	317	191	56	24	74
ENSG00000175267.15	0	0	2	2	1	1	1	3	0	5	3	0	0	2
ENSG00000175274.19	650	819	488	665	533	434	475	726	545	1279	973	382	1082	744
ENSG00000175279.22	9	7	22	20	11	31	14	33	28	33	30	13	28	36
ENSG00000175283.8	440	540	511	500	533	642	446	1224	448	687	876	345	734	950
ENSG00000175287.19	1014	1019	1678	953	1770	1228	632	652	1098	1523	904	624	1788	1453
ENSG00000175294.6	3	5	4	2	0	3	1	8	6	10	3	2	5	4
ENSG00000175302.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175305.17	10	25	9	10	22	11	6	25	28	32	45	13	31	16
ENSG00000175309.15	1245	2138	1968	2297	1854	1972	1248	2338	1280	2265	2002	1073	1626	3156
ENSG00000175311.7	968	2104	2306	782	2624	2075	1128	2262	981	1730	1602	1240	2097	2282
ENSG00000175315.3	0	0	0	1	0	0	1	2	0	1	0	0	0	0
ENSG00000175318.12	4	1	1	1	1	3	1	2	0	13	7	2	3	10
ENSG00000175319.3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000175322.12	1	31	12	11	25	16	15	45	13	66	40	19	27	35
ENSG00000175324.10	210	145	214	175	208	198	177	381	225	318	253	210	269	333
ENSG00000175325.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175329.13	1	2	2	1	1	1	2	2	9	1	9	0	6	37
ENSG00000175334.8	1937	1720	2922	2084	2790	2756	1561	5216	2596	3302	3493	1425	2912	3062
ENSG00000175336.10	17357	36069	13392	15142	19440	28828	4993	7700	26284	20993	5596	12528	17299	17789
ENSG00000175344.19	0	0	0	1	0	0	1	4	0	3	3	0	1	0
ENSG00000175348.11	931	845	1129	706	1072	981	1236	3494	1079	1802	2118	903	1086	1940
ENSG00000175352.11	8	0	1	0	2	1	9	19	1	52	13	5	4	7
ENSG00000175354.20	841	564	582	914	421	548	475	954	984	1370	985	406	638	875
ENSG00000175356.14	91	28	35	15	14	18	27	76	15	68	42	2	64	68
ENSG00000175376.9	654	457	602	448	583	565	299	801	533	790	666	410	622	692
ENSG00000175387.16	1048	1309	1223	855	1107	1320	991	1821	1102	1904	1953	699	1603	1708
ENSG00000175390.15	2823	2985	4552	2440	3453	4230	2503	4032	2749	5049	3320	2234	4154	4405
ENSG00000175395.16	126	219	154	119	174	167	126	242	135	398	257	107	197	249
ENSG00000175398.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175414.7	58	147	64	47	45	97	25	85	54	152	103	58	140	139
ENSG00000175416.16	1423	1183	2103	1707	1955	1653	1344	2607	1674	2069	2318	1063	2047	2287
ENSG00000175426.11	4	5	1	2	3	2	0	0	21	6	7	1	3	4
ENSG00000175445.17	21	8	4	8	8	6	20	48	32	90	150	10	7	14
ENSG00000175449.14	20	11	25	29	30	20	6	25	46	25	19	13	25	31
ENSG00000175455.16	109	397	342	169	229	233	200	711	344	663	789	157	370	787
ENSG00000175463.12	89	104	140	133	90	147	155	483	108	1548	676	90	155	210
ENSG00000175467.15	1513	1452	1767	1645	2309	1910	1239	2076	1397	2523	2022	682	2300	2027
ENSG00000175470.20	723	819	926	704	1189	955	494	1026	794	1219	1105	659	986	999
ENSG00000175471.19	67	112	46	46	49	37	109	150	83	517	261	59	113	114
ENSG00000175482.9	177	288	258	408	392	655	181	539	304	482	409	201	346	582
ENSG00000175485.2	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ENSG00000175489.10	243	400	206	239	168	206	162	358	386	1329	541	280	323	427
ENSG00000175497.17	9	16	24	12	19	10	27	28	10	28	73	4	34	32
ENSG00000175505.11	103	28	42	69	19	18	18	273	62	136	111	83	39	106
ENSG00000175509.8	0	0	0	0	1	4	0	0	1	2	0	0	0	0
ENSG00000175513.9	0	0	1	2	0	2	1	1	0	8	4	2	3	7
ENSG00000175514.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000175518.8	2	4	10	8	7	1	10	31	9	15	85	3	8	45
ENSG00000175520.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175535.6	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000175536.7	54	81	131	47	124	145	45	67	45	73	85	33	107	137
ENSG00000175538.11	231	130	89	114	81	81	32	68	266	308	110	63	65	77
ENSG00000175544.14	11	77	49	36	34	40	28	37	78	175	81	37	45	67
ENSG00000175548.9	151	309	260	172	261	302	202	262	224	323	441	134	325	472
ENSG00000175550.8	1294	1046	1760	1693	1960	1947	1659	4039	1636	2503	3018	1160	2420	3339
ENSG00000175556.17	346	289	105	247	319	166	215	193	229	233	155	447	333	267
ENSG00000175564.13	8	6	14	5	10	11	7	19	6	50	14	4	12	11
ENSG00000175567.11	856	961	821	783	842	834	571	2445	1531	7336	3248	869	986	1222
ENSG00000175573.7	556	590	790	650	1015	984	690	1185	596	1280	1151	377	859	1102
ENSG00000175575.13	394	586	505	468	808	810	348	710	522	541	762	401	605	815
ENSG00000175581.14	395	518	608	527	959	817	476	865	724	644	595	482	694	749
ENSG00000175582.20	2493	4220	3161	3315	2860	2851	1625	5253	4326	3887	4425	2714	3926	4497
ENSG00000175591.12	51	93	128	109	174	71	171	134	81	67	155	66	199	183
ENSG00000175592.9	308	29	51	78	10	3	10	109	145	95	56	59	75	18
ENSG00000175595.15	194	285	226	113	266	216	258	260	160	312	352	138	292	354
ENSG00000175600.16	592	808	856	728	1263	1319	361	850	783	785	656	633	1084	1076
ENSG00000175602.4	361	483	303	326	389	212	260	532	266	255	449	173	686	366
ENSG00000175604.2	1	4	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000175606.11	781	629	1599	895	1052	1802	663	1422	1013	1003	1206	802	1103	2692
ENSG00000175611.12	74	93	99	77	75	144	51	58	82	124	64	110	96	186
ENSG00000175619.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175634.15	521	654	633	908	1213	1065	610	990	681	1216	1117	835	1175	1549
ENSG00000175643.10	35	26	69	23	14	68	147	349	46	158	338	22	210	162
ENSG00000175646.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175658.4	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000175662.18	272	1177	432	388	511	860	643	1112	513	1152	1105	297	644	1212
ENSG00000175664.10	5	4	12	7	3	6	13	2	9	7	3	2	7	23
ENSG00000175676.15	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000175691.9	38	55	62	29	44	45	36	88	86	80	75	39	70	63
ENSG00000175697.11	0	4	1	1	0	0	3	1	1	4	0	1	0	6
ENSG00000175699.15	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000175701.10	387	208	586	550	517	481	418	607	519	431	526	442	449	797
ENSG00000175707.9	76	147	127	68	247	309	245	521	135	137	230	59	164	234
ENSG00000175711.8	35	33	44	40	81	65	52	123	64	139	82	32	87	104
ENSG00000175718.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175727.14	669	1926	864	1067	870	1413	875	1819	1421	2277	1545	449	1212	2285
ENSG00000175728.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175730.8	1	4	1	1	0	2	2	6	0	5	7	1	1	2
ENSG00000175741.5	30	25	42	21	26	44	19	34	24	24	41	23	32	39
ENSG00000175745.14	625	1223	867	564	775	918	599	1129	1023	1376	934	369	917	1736
ENSG00000175746.6	0	1	0	1	0	0	0	0	1	0	0	0	0	0
ENSG00000175749.11	1	0	0	0	1	1	0	0	2	1	0	0	0	1
ENSG00000175756.13	2936	2314	4896	4029	5581	4127	2821	4661	3367	3528	3924	2836	4552	4454
ENSG00000175764.14	143	93	91	88	71	131	65	145	67	153	105	95	121	150
ENSG00000175766.13	0	0	0	1	1	0	0	0	0	0	2	0	0	1
ENSG00000175768.13	10	23	27	14	16	14	11	23	32	31	37	25	29	48
ENSG00000175772.11	10	7	13	11	2	7	5	4	7	8	11	5	5	11
ENSG00000175773.13	23	14	20	10	49	25	4	25	16	28	17	18	12	16
ENSG00000175779.4	0	2	0	0	0	2	1	4	0	45	10	1	1	3
ENSG00000175782.11	333	643	570	380	619	791	350	585	456	746	668	352	744	781
ENSG00000175785.13	11	38	29	12	12	13	29	27	20	108	8	2	22	5
ENSG00000175787.17	12	23	14	10	13	15	6	25	22	71	38	9	25	26
ENSG00000175792.12	397	655	658	706	912	770	564	1111	815	953	946	425	686	984
ENSG00000175793.12	37	2	11	4	5	31	9	81	191	16	4	5	14	60
ENSG00000175800.5	0	0	2	1	0	3	0	1	0	0	1	3	2	0
ENSG00000175806.15	1795	1542	2464	2297	2867	3546	2160	3048	2230	1701	3314	1885	4217	3776
ENSG00000175809.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175820.4	0	17	6	5	5	9	0	4	3	9	9	10	8	18
ENSG00000175826.12	436	526	628	469	568	664	340	737	508	1144	803	297	703	571
ENSG00000175832.13	74	56	48	49	61	49	131	937	63	133	194	11	98	169
ENSG00000175841.8	1	0	0	1	0	0	1	1	1	3	3	0	0	0
ENSG00000175854.14	378	385	773	560	764	789	296	602	580	663	607	487	721	786
ENSG00000175857.8	7	26	11	9	22	24	9	94	7	121	71	14	19	50
ENSG00000175866.15	852	2333	1988	2073	3263	3070	1353	2213	1292	1458	1700	1463	2842	4238
ENSG00000175868.14	0	1	0	1	3	2	4	0	3	4	4	2	2	8
ENSG00000175874.10	1	1	2	0	0	3	0	0	3	2	0	1	0	0
ENSG00000175877.4	0	2	0	1	3	5	1	5	2	5	2	3	0	0
ENSG00000175879.9	0	4	1	0	3	1	3	6	6	5	2	0	13	1
ENSG00000175886.10	9	7	8	8	9	10	3	16	14	12	9	3	15	11
ENSG00000175893.12	192	347	277	221	153	250	158	340	313	513	469	171	284	463
ENSG00000175894.18	2	13	9	6	13	15	12	5	7	4	27	4	23	12
ENSG00000175895.4	444	459	429	353	518	505	320	658	438	727	508	470	463	549
ENSG00000175899.15	194433	241387	155186	203558	124861	120881	151590	507087	73680	159405	431697	47327	157927	307379
ENSG00000175906.5	6685	536	1361	3230	1790	889	789	583	2055	400	506	1503	1001	692
ENSG00000175920.18	22	12	97	23	28	9	83	133	18	22	97	4	48	98
ENSG00000175928.6	28	45	38	21	25	22	33	39	16	57	27	10	80	50
ENSG00000175931.13	443	644	626	484	618	633	516	864	509	837	881	257	727	809
ENSG00000175938.7	324	694	776	479	957	1398	677	774	991	783	1066	453	888	867
ENSG00000175946.8	0	2	2	1	6	1	1	0	1	2	0	0	2	2
ENSG00000175967.4	1	3	3	1	0	1	1	0	1	15	1	0	1	3
ENSG00000175970.11	96	350	65	109	172	262	108	194	131	302	129	127	162	346
ENSG00000175984.15	154	293	183	142	303	259	239	270	163	259	375	161	551	487
ENSG00000175985.10	3	3	1	3	1	2	0	3	1	4	7	5	3	9
ENSG00000176007.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176009.3	0	0	1	0	0	0	0	0	0	0	1	0	0	0
ENSG00000176014.13	949	452	265	455	287	176	186	761	489	1050	447	245	461	399
ENSG00000176018.13	1060	1087	1156	1007	1078	816	575	995	1108	1107	1386	1225	1121	1461
ENSG00000176020.9	0	0	0	1	0	0	0	0	0	1	0	0	0	0
ENSG00000176022.7	520	586	610	554	669	682	379	889	553	894	733	303	738	699
ENSG00000176024.18	91	46	77	42	62	111	35	146	60	134	95	78	64	118
ENSG00000176029.14	0	0	0	0	1	0	1	1	1	0	2	2	1	0
ENSG00000176040.13	0	1	0	0	1	0	0	0	0	0	0	0	1	2
ENSG00000176043.5	0	0	1	0	0	0	0	0	0	2	0	0	0	1
ENSG00000176046.9	266	121	231	205	204	225	176	284	293	159	299	183	414	452
ENSG00000176049.16	22	99	68	33	225	147	58	51	59	121	65	50	152	182
ENSG00000176054.6	2	14	13	6	7	7	2	10	10	5	5	7	3	10
ENSG00000176055.10	212	285	467	200	353	353	169	278	293	259	291	265	450	481
ENSG00000176058.13	1369	783	484	821	377	1255	332	1291	621	459	648	355	402	439
ENSG00000176076.7	0	2	0	3	4	1	2	16	2	0	22	0	3	2
ENSG00000176083.18	14	3	17	19	2	34	10	71	5	155	205	3	13	48
ENSG00000176087.15	1420	2398	2174	1646	2621	2623	1664	3361	1728	3274	3341	1469	2848	2793
ENSG00000176092.16	2	7	9	1	2	3	14	208	41	24	33	1	10	64
ENSG00000176095.12	513	1183	655	646	796	1044	763	1090	755	1428	1212	494	933	1187
ENSG00000176101.12	752	659	1187	906	1340	1586	656	1537	847	1384	1173	830	1375	1526
ENSG00000176102.13	444	284	619	364	479	528	337	781	557	672	808	313	561	806
ENSG00000176105.14	2474	2541	2477	2139	2670	2742	2155	3280	2215	1972	3403	2005	3982	4119
ENSG00000176108.9	320	460	425	438	545	476	354	606	324	486	524	383	662	615
ENSG00000176115.9	4	1	4	6	21	7	2	6	2	5	0	10	1	8
ENSG00000176124.15	21	73	78	18	53	66	20	35	66	94	62	35	55	107
ENSG00000176125.7	45	33	59	33	37	41	34	88	23	43	44	35	43	77
ENSG00000176134.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176136.6	0	1	0	0	0	0	0	0	0	0	1	0	1	1
ENSG00000176142.13	617	663	663	519	635	534	300	643	562	941	827	303	903	815
ENSG00000176148.16	120	197	140	126	112	201	70	230	185	205	188	96	156	237
ENSG00000176153.12	7287	9062	3178	23171	1384	10931	2568	34448	8954	5392	28089	1372	5244	9835
ENSG00000176155.19	232	286	1570	855	1482	1205	423	1102	344	827	684	395	1321	1876
ENSG00000176160.11	1	0	4	3	0	2	2	2	1	6	2	1	0	4
ENSG00000176165.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176170.14	137	66	74	67	49	30	84	207	38	330	130	41	159	213
ENSG00000176171.11	4586	5585	7968	4615	8517	6755	3555	5913	7269	5356	6257	5308	6904	8185
ENSG00000176177.10	0	0	1	1	0	0	0	3	0	22	1	0	0	0
ENSG00000176182.6	112	139	169	142	187	192	167	210	140	280	270	71	216	190
ENSG00000176183.8	1	2	0	0	2	1	1	0	1	2	0	0	1	0
ENSG00000176194.18	2	0	3	0	1	0	34	0	1091	1	1	4	1	0
ENSG00000176198.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176200.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176204.13	12	9	1	9	75	49	12	8	6	6	10	12	9	48
ENSG00000176208.9	15	61	43	18	31	28	20	56	42	81	88	21	85	90
ENSG00000176209.12	1863	1850	1985	1387	2848	2867	889	1785	2441	2208	1470	1655	2103	2260
ENSG00000176219.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176222.9	18	24	53	18	21	27	8	36	35	47	62	29	25	42
ENSG00000176225.15	139	378	317	144	585	357	174	209	211	384	309	177	635	550
ENSG00000176230.7	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000176231.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176232.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176236.6	0	0	2	0	1	0	1	3	2	6	0	2	3	5
ENSG00000176239.7	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000176243.9	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000176244.7	2	8	10	6	7	3	16	30	9	10	35	10	18	22
ENSG00000176246.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176248.9	775	1219	1162	940	1811	1326	984	1687	940	1576	1589	812	2004	2021
ENSG00000176253.4	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSG00000176256.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176261.15	347	360	567	407	511	490	299	698	514	705	632	342	546	774
ENSG00000176268.5	0	2	0	2	4	3	0	0	2	6	3	1	2	2
ENSG00000176269.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176273.15	209	186	217	332	204	104	934	1057	231	266	1960	131	416	886
ENSG00000176281.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176289.4	0	0	0	0	0	0	0	1	0	0	1	0	1	0
ENSG00000176290.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176293.20	35	39	26	15	25	16	27	57	14	61	48	9	52	49
ENSG00000176294.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176299.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176302.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176312.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176318.8	0	0	2	1	1	1	0	0	1	0	0	0	0	0
ENSG00000176320.2	0	1	0	0	0	0	2	0	0	8	4	0	3	2
ENSG00000176340.4	1209	731	1755	1770	2109	2240	1079	2266	1647	1852	2174	1144	2216	2831
ENSG00000176343.5	1	1	0	0	1	1	0	0	3	1	1	1	3	3
ENSG00000176349.11	1	6	1	0	11	13	1	0	0	3	0	0	3	4
ENSG00000176358.15	0	4	4	1	1	1	0	0	0	3	2	2	1	2
ENSG00000176371.14	59	84	91	70	124	157	108	158	74	108	149	75	127	188
ENSG00000176378.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176381.6	284	158	372	361	367	729	115	218	187	358	360	211	287	229
ENSG00000176383.9	1	4	2	4	1	1	3	10	6	4	7	0	1	2
ENSG00000176386.9	204	272	236	270	305	484	147	251	305	318	237	233	275	292
ENSG00000176387.7	92	114	174	121	255	151	148	283	151	168	167	101	355	261
ENSG00000176390.12	124	145	176	137	129	164	112	337	201	575	340	108	213	264
ENSG00000176393.11	1175	879	1933	1469	2216	1704	1698	2641	1179	2373	3181	922	2739	2549
ENSG00000176396.11	375	216	382	238	312	341	209	450	374	424	426	210	312	426
ENSG00000176399.4	482	892	942	415	950	911	337	919	734	520	507	603	840	847
ENSG00000176401.6	7	17	11	13	19	14	14	21	13	40	31	8	17	22
ENSG00000176402.6	32	36	63	23	37	42	32	64	22	31	51	29	37	56
ENSG00000176406.23	6	0	0	4	3	3	0	1	4	2	0	0	5	3
ENSG00000176407.18	1295	1361	1703	1176	1293	1625	918	2000	1422	2135	1645	1021	1693	2418
ENSG00000176410.8	496	514	801	588	836	768	341	852	680	722	861	404	748	674
ENSG00000176422.14	2878	3246	4609	3514	5873	4775	2153	3607	5785	3740	4457	3375	5118	5420
ENSG00000176428.6	67	55	200	103	131	195	74	128	29	71	123	86	231	186
ENSG00000176435.7	510	634	555	519	487	306	279	402	386	1087	575	203	436	752
ENSG00000176438.12	75	342	230	92	209	243	186	232	90	509	310	83	327	375
ENSG00000176444.19	334	531	643	452	600	621	314	856	430	1141	744	243	642	689
ENSG00000176454.14	69	121	140	119	124	167	85	361	211	662	241	49	172	176
ENSG00000176463.14	258	330	242	183	219	170	197	432	270	816	511	111	403	466
ENSG00000176472.10	52	52	83	29	94	58	51	34	76	89	85	55	78	64
ENSG00000176473.13	156	274	295	281	394	252	206	406	211	350	266	152	363	231
ENSG00000176476.9	355	433	688	317	769	828	305	590	378	669	510	268	566	479
ENSG00000176485.12	3711	5053	3513	3380	3540	5472	1070	2274	4884	3746	2421	3142	3860	3271
ENSG00000176490.5	4	0	1	2	1	1	2	8	6	26	3	1	3	1
ENSG00000176495.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176510.5	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000176515.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176531.10	394	607	643	426	773	809	438	722	373	592	560	298	696	785
ENSG00000176532.4	4	0	6	23	2	3	41	371	102	6	16	1	30	22
ENSG00000176533.13	194	517	276	236	506	502	211	373	296	603	314	250	363	573
ENSG00000176540.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176542.10	1008	2086	1346	679	1413	1467	1258	1199	1095	1115	1999	983	2452	1969
ENSG00000176547.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176555.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176563.10	1	14	10	3	5	6	7	13	18	14	13	2	13	7
ENSG00000176566.5	0	0	0	0	0	0	0	0	3	1	0	0	0	4
ENSG00000176567.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176571.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176584.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176593.8	23	32	36	12	22	21	21	49	13	109	44	7	26	37
ENSG00000176595.4	1048	1012	1190	482	1157	1167	699	753	561	455	515	803	1337	1108
ENSG00000176597.12	33	42	16	76	130	11	24	186	62	81	410	11	99	92
ENSG00000176601.13	4	3	0	6	4	3	2	5	3	3	2	1	0	2
ENSG00000176605.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176619.13	371	316	313	356	422	304	279	719	712	719	528	271	473	580
ENSG00000176623.12	1056	1973	1703	1398	2174	2028	1257	1803	1738	1752	1894	1537	2340	2776
ENSG00000176624.12	461	593	598	416	352	458	423	968	523	907	808	449	729	837
ENSG00000176635.18	18	51	82	12	125	42	79	20	66	77	27	83	55	222
ENSG00000176641.11	1527	5069	2516	4304	3146	2405	2117	1017	6699	3405	2298	5989	2880	3995
ENSG00000176654.12	0	0	1	0	0	0	5	10	1	4	9	0	1	0
ENSG00000176658.17	1042	1747	1334	1220	1813	1822	1796	4244	1740	2250	2970	727	2559	2921
ENSG00000176659.9	3	1	1	2	1	1	0	1	2	19	5	1	5	2
ENSG00000176678.6	15	11	7	5	2	3	17	4	20	26	10	2	8	11
ENSG00000176679.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176681.14	2	10	8	3	4	5	4	4	2	10	4	2	2	2
ENSG00000176692.8	5	12	5	1	6	0	3	5	10	6	8	4	1	3
ENSG00000176695.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176697.20	6	18	2	1	5	3	0	1	8	14	3	0	2	7
ENSG00000176700.20	10	24	26	10	14	12	11	26	14	40	34	14	13	31
ENSG00000176714.10	57	93	114	39	79	128	44	49	63	86	83	38	92	81
ENSG00000176715.17	629	855	992	1230	1490	1004	933	1667	951	1035	1538	616	1527	1774
ENSG00000176716.5	0	2	2	1	0	0	0	0	2	1	1	1	0	2
ENSG00000176720.6	2965	6179	5324	4334	6771	5423	2947	6185	3340	4747	5072	3245	6006	8441
ENSG00000176723.10	15	24	19	22	36	34	16	24	16	18	30	18	20	29
ENSG00000176728.10	51	0	139	59	0	0	24	78	0	77	83	0	70	161
ENSG00000176731.12	95	134	183	111	119	128	116	189	205	239	204	174	207	242
ENSG00000176732.7	3	13	13	10	2	12	0	9	13	18	8	7	13	9
ENSG00000176742.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176746.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176748.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176749.9	17	42	24	17	38	33	29	38	47	114	39	24	48	47
ENSG00000176752.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176753.5	0	1	2	2	1	2	1	1	1	4	1	2	1	2
ENSG00000176754.13	0	0	0	0	0	0	0	0	2	1	1	0	0	0
ENSG00000176761.7	0	2	1	0	2	1	1	2	1	6	3	0	3	3
ENSG00000176769.9	1	1	2	1	3	5	3	6	0	5	1	0	3	1
ENSG00000176771.17	278	351	137	103	405	187	130	139	233	270	266	151	295	411
ENSG00000176774.6	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000176782.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176783.15	710	864	1121	839	1089	1161	514	1374	972	1539	1267	510	1288	1103
ENSG00000176787.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176788.9	521	657	316	335	476	358	247	601	840	1679	736	430	328	554
ENSG00000176797.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176798.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176809.10	27	55	34	25	32	28	22	67	31	70	87	24	34	40
ENSG00000176812.7	2	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000176826.15	7	25	5	2	14	5	7	28	15	22	18	5	21	10
ENSG00000176834.14	323	644	515	533	586	873	457	1755	420	728	1415	364	609	976
ENSG00000176840.12	0	0	1	0	0	1	0	0	2	1	1	2	0	0
ENSG00000176842.15	37	0	1	0	2	0	2	2	3	3	0	0	0	2
ENSG00000176845.13	382	389	296	301	255	243	225	689	382	785	592	321	403	539
ENSG00000176853.16	1205	1802	1472	1421	1585	1872	1157	2263	1755	2047	2829	1434	1888	3455
ENSG00000176855.11	1	5	4	4	2	1	4	13	6	5	1	1	3	3
ENSG00000176857.5	0	1	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000176868.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176871.9	911	1753	853	1096	1317	1691	1470	2250	1341	1880	2145	1563	1671	2358
ENSG00000176882.5	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176884.16	0	0	2	1	0	1	0	6	2	4	2	0	2	1
ENSG00000176887.7	0	1	0	0	2	0	0	0	1	0	0	0	0	0
ENSG00000176890.16	14	17	36	41	13	17	46	112	33	59	121	29	174	117
ENSG00000176893.5	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSG00000176894.10	294	266	494	274	486	443	230	299	420	276	413	313	697	844
ENSG00000176895.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176896.8	71	119	106	80	163	160	62	171	97	144	133	60	136	131
ENSG00000176900.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176903.5	204	321	144	174	167	155	175	496	169	698	381	105	270	282
ENSG00000176904.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176907.5	2415	7663	12553	5135	6243	8694	1559	4911	9344	7742	6743	2106	6335	11395
ENSG00000176909.12	4	10	11	8	13	14	12	22	11	25	10	3	15	21
ENSG00000176912.5	4	5	23	15	2	8	16	57	9	15	30	19	53	53
ENSG00000176915.15	1018	991	919	876	1225	1322	747	1810	826	1919	1552	690	1507	1820
ENSG00000176919.13	4300	6084	10422	19743	15660	13094	9757	26467	8536	8269	18660	6804	9382	17744
