gene_id	TCGA-BC-A10T-11A-11R-A131-07	TCGA-DD-A1EC-11A-11R-A131-07	TCGA-DD-A1EH-11A-11R-A131-07	TCGA-DD-A39V-11A-11R-A213-07	TCGA-DD-A39W-11A-11R-A213-07	TCGA-DD-A39X-11A-11R-A213-07	TCGA-EP-A12J-11A-11R-A131-07	TCGA-ES-A2HT-11A-11R-A180-07	TCGA-BC-A216-11A-11R-A155-07	TCGA-BD-A2L6-11A-21R-A213-07	TCGA-DD-A114-11A-12R-A131-07	TCGA-DD-A118-11A-11R-A131-07	TCGA-DD-A1EI-11A-11R-A131-07	TCGA-DD-A1EL-11A-11R-A155-07
ENSG00000004848.8	0	0	0	0	0	0	0	2	0	0	5	0	0	1
ENSG00000004864.14	4118	5423	6258	4493	10255	8680	4170	7258	4518	4248	7135	4334	11423	11267
ENSG00000004866.22	1205	1345	1730	1091	1609	1928	841	1493	1275	1486	1373	984	1930	2120
ENSG00000004897.12	1124	1315	1338	925	1078	1086	1025	1990	1248	1629	1876	1050	1686	2048
ENSG00000004939.15	43	5	2	9	2	1	8	2	149	16	11	3	3	2
ENSG00000004948.16	0	4	1	2	4	1	1	0	2	6	4	3	2	8
ENSG00000004961.15	635	514	642	545	590	777	661	1166	568	1210	937	510	770	1193
ENSG00000004975.12	259	376	303	263	352	515	260	392	214	577	427	133	500	556
ENSG00000005001.10	37	19	16	19	22	2	14	74	24	59	42	9	35	57
ENSG00000005007.13	2204	2600	2853	2752	3593	2647	2326	3358	2724	3422	3564	1396	3559	4138
ENSG00000005020.13	404	513	382	413	515	397	508	905	541	1175	1328	386	700	961
ENSG00000005022.6	6534	5108	7862	7265	10304	10656	6856	12442	6137	9689	10745	5431	13763	13985
ENSG00000005059.16	50	79	76	61	51	44	73	221	82	515	278	62	104	150
ENSG00000005073.6	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000005075.15	848	715	1323	1115	1657	1766	392	1234	1135	1315	895	905	1290	1762
ENSG00000005100.13	493	671	510	391	570	434	474	715	432	611	791	332	885	977
ENSG00000005102.14	3	10	1	2	1	1	3	26	5	28	6	1	7	8
ENSG00000005108.16	56	186	63	52	84	66	97	49	80	194	817	44	196	113
ENSG00000005156.12	295	582	319	432	652	427	341	570	472	560	519	265	607	539
ENSG00000005175.10	501	558	488	537	491	582	337	833	566	738	819	361	742	863
ENSG00000005187.12	2187	3314	2464	2093	5470	3980	1089	1043	2968	1905	2016	2302	4079	5142
ENSG00000005189.20	23	73	66	47	64	89	81	119	67	107	210	47	145	134
ENSG00000005194.15	737	715	950	679	856	846	693	1661	635	1187	1249	660	1105	1213
ENSG00000005206.17	397	624	823	770	857	656	725	1135	591	818	1294	347	882	911
ENSG00000005238.20	159	462	282	302	349	401	177	513	276	628	675	206	470	560
ENSG00000005243.10	631	531	932	857	1081	1233	467	807	814	973	973	635	1314	1375
ENSG00000005249.13	193	248	184	132	149	157	117	163	306	551	226	120	192	319
ENSG00000005302.19	335	404	395	299	472	478	338	706	345	1177	744	361	514	756
ENSG00000005339.15	1596	2923	1942	1334	2809	2280	1913	1990	1770	3129	3109	1261	3409	3187
ENSG00000005379.17	37	337	134	109	91	163	49	139	178	461	212	67	135	261
ENSG00000005381.8	6	10	4	16	12	4	20	6	31	25	14	6	11	7
ENSG00000005421.9	18754	22051	34348	15233	52401	56467	22163	37934	26966	28303	42255	22161	46970	55065
ENSG00000005436.14	345	610	646	317	599	441	405	717	590	807	583	377	705	1182
ENSG00000005448.17	64	133	68	80	55	65	72	131	58	241	97	34	113	129
ENSG00000005469.12	901	1378	1860	1021	1954	1084	1034	1198	889	1388	1592	870	3179	2313
ENSG00000005471.19	2215	6897	5974	5674	6275	3846	10112	22388	7898	3862	18507	4849	12204	10709
ENSG00000005483.21	1097	1232	995	549	1011	881	722	1189	881	1851	1581	638	1372	1312
ENSG00000005486.17	2044	2051	3259	2805	3549	3382	3074	5454	2362	4027	6139	1847	3762	3695
ENSG00000005513.10	8	5	4	2	1	0	1	16	6	17	11	1	7	9
ENSG00000005700.15	1846	3041	2140	2596	3211	2599	2458	3335	3339	2324	4673	3506	5098	5235
ENSG00000005801.18	178	314	312	198	210	276	271	499	270	470	429	184	306	442
ENSG00000005810.18	470	1289	657	638	1050	947	825	1231	634	1836	1781	546	1846	1456
ENSG00000005812.11	1509	1168	1279	1069	1118	1832	630	934	1363	1586	1395	1204	1176	1486
ENSG00000005844.19	415	1290	796	656	903	1138	744	1224	909	5925	2598	425	1175	1127
ENSG00000005882.12	797	1454	1243	950	2812	2277	1014	1144	803	1142	1626	1284	2360	2224
ENSG00000005884.18	211	317	214	121	202	117	350	988	218	758	635	53	413	416
ENSG00000005889.16	438	1361	715	383	1292	1090	525	1025	867	820	1134	674	1145	1266
ENSG00000005893.16	8294	10882	13156	8168	12269	13473	10906	35990	12320	15225	25793	7928	11940	20637
ENSG00000005961.19	18	15	5	15	17	5	9	2	73	15	10	13	6	3
ENSG00000005981.13	81	78	66	90	288	172	14	50	66	96	25	87	76	116
ENSG00000006007.12	688	1695	851	1149	1677	1524	883	1534	1041	1564	1682	980	1600	1981
ENSG00000006015.18	641	733	1208	848	1179	817	628	1071	596	775	1031	654	1463	1130
ENSG00000006016.11	3	8	7	5	2	3	5	55	1	15	5	2	5	4
ENSG00000006025.12	26	76	61	43	55	52	64	185	74	429	189	27	120	108
ENSG00000006042.12	383	411	981	465	636	993	444	1271	736	605	1258	447	1124	1602
ENSG00000006047.13	44	33	173	71	44	36	35	91	27	13	80	18	46	34
ENSG00000006059.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062.17	341	937	328	437	392	518	159	782	330	1478	639	752	382	914
ENSG00000006071.15	2	5	2	3	2	4	15	6	4	5	6	1	5	5
ENSG00000006116.4	0	0	1	0	0	0	0	1	1	1	1	0	2	0
ENSG00000006118.15	48	61	38	45	55	16	46	145	65	148	134	24	102	151
ENSG00000006125.18	2208	3415	2668	1835	4050	3042	2423	4505	2599	4746	4807	1664	4576	4017
ENSG00000006128.12	0	0	0	0	1	0	1	26	0	2	2	3	0	1
ENSG00000006194.10	493	569	654	510	493	563	399	960	523	983	941	407	616	845
ENSG00000006210.7	1352	1904	1740	628	1478	1548	1261	2825	687	2529	1503	708	1876	2896
ENSG00000006282.21	758	1402	1925	2309	2766	1592	1144	2667	1138	2053	2181	895	2791	2881
ENSG00000006283.18	1	2	0	0	1	0	2	3	1	3	2	0	1	0
ENSG00000006327.14	1689	888	826	656	157	149	298	5310	775	2545	1142	1579	430	2543
ENSG00000006377.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006432.15	49	138	54	45	57	112	48	132	65	108	111	48	67	96
ENSG00000006451.8	904	814	1004	707	974	961	580	1454	978	1157	1363	665	1173	1307
ENSG00000006453.14	712	1270	1101	917	1077	2465	639	2995	1039	1193	2094	885	1849	2495
ENSG00000006459.11	1293	1273	725	691	594	909	315	863	891	1601	939	732	832	1097
ENSG00000006468.14	334	387	185	166	334	626	116	125	273	358	373	221	337	325
ENSG00000006530.18	329	497	491	314	513	483	429	906	576	709	985	240	570	752
ENSG00000006534.16	170	386	209	259	594	287	307	944	345	1072	604	184	508	503
ENSG00000006555.11	141	91	151	97	140	163	197	524	102	207	334	79	349	159
ENSG00000006576.16	171	286	213	204	173	342	172	327	273	801	598	244	374	449
ENSG00000006606.9	1	2	2	1	0	0	3	2	1	10	2	0	4	3
ENSG00000006607.14	451	1011	510	493	697	767	669	918	597	904	1329	426	993	1429
ENSG00000006611.17	44	39	60	49	60	37	99	231	146	96	94	19	160	161
ENSG00000006625.18	384	193	485	235	288	321	260	577	441	458	494	242	434	603
ENSG00000006634.8	65	104	123	63	66	94	82	172	140	188	174	154	137	137
ENSG00000006638.13	232	507	381	283	331	408	168	460	318	444	392	185	512	662
ENSG00000006652.15	80	117	209	107	103	146	29	207	159	306	180	96	128	202
ENSG00000006659.13	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000006695.12	320	492	342	241	561	484	442	1168	383	404	781	347	718	662
ENSG00000006704.11	104	167	243	96	388	223	153	326	207	222	300	191	373	449
ENSG00000006712.15	2082	1999	2497	2312	2457	2649	1675	2665	1991	2472	2541	1591	3167	2934
ENSG00000006715.16	814	1183	962	942	881	978	747	1634	1187	1850	1853	783	1767	2125
ENSG00000006740.17	32	56	64	46	54	35	41	113	43	121	65	18	114	75
ENSG00000006744.19	1439	1988	2321	1765	2842	2622	1979	3688	1698	2401	3508	1242	3631	3692
ENSG00000006747.15	7	3	1	5	0	2	3	8	8	28	20	3	8	15
ENSG00000006756.16	1869	4836	2775	1679	7906	6432	1915	2059	3834	2263	2358	2727	3702	2919
ENSG00000006757.12	602	1140	889	702	1959	1879	564	626	1365	826	780	1207	1122	889
ENSG00000006788.14	0	0	0	0	0	0	1	1	0	0	0	0	0	0
ENSG00000006831.10	4413	6245	7770	4751	9181	8292	5597	7990	4474	5169	13500	5890	10865	9805
ENSG00000006837.12	2	3	3	7	2	5	4	4	3	5	12	3	1	4
ENSG00000007001.13	104	156	80	140	1205	71	567	3300	300	1269	7291	213	86	1431
ENSG00000007038.11	0	6	5	2	3	3	2	3	12	6	5	0	2	4
ENSG00000007047.15	435	735	530	1018	781	927	559	1242	660	878	1011	485	987	1008
ENSG00000007062.12	128	217	122	98	127	58	189	153	117	376	269	77	322	334
ENSG00000007080.11	853	805	1307	1359	1645	1248	977	1857	1170	1279	1536	883	1590	1772
ENSG00000007129.18	19	16	42	43	44	58	34	47	64	300	116	40	86	32
ENSG00000007168.14	1725	2503	1809	1745	2437	2237	1646	3104	1755	2983	3251	1443	3022	3321
ENSG00000007171.18	10	10	7	18	13	11	55	24	9	47	127	0	24	15
ENSG00000007174.18	1	3	3	2	1	0	3	7	2	3	7	0	5	9
ENSG00000007202.15	341	2626	441	645	800	1849	806	1604	1090	1906	1426	544	1108	1881
ENSG00000007216.15	62	50	52	39	114	66	33	174	28	66	121	51	86	42
ENSG00000007237.19	144	190	89	87	75	89	112	283	138	1042	457	71	218	209
ENSG00000007255.10	729	671	946	1089	1369	1064	472	846	856	1058	826	761	1049	1067
ENSG00000007264.15	82	80	74	121	121	127	54	145	103	293	253	68	99	141
ENSG00000007306.15	0	2	0	0	1	0	1	35	19	4	0	0	2	0
ENSG00000007312.13	38	36	34	53	46	66	29	134	59	172	109	31	86	89
ENSG00000007314.12	6	30	18	14	12	5	14	7	6	42	19	10	29	10
ENSG00000007341.19	144	210	164	153	150	245	138	326	149	280	228	113	248	242
ENSG00000007350.17	15	6	8	5	7	5	3	2	6	5	3	12	3	2
ENSG00000007372.24	0	0	0	0	1	1	0	0	0	1	1	0	0	1
ENSG00000007376.8	242	274	330	315	761	470	298	592	262	454	457	204	454	625
ENSG00000007384.15	193	193	203	125	129	148	202	643	181	424	358	85	268	449
ENSG00000007392.17	354	417	521	383	271	416	148	718	358	1120	576	240	392	584
ENSG00000007402.12	30	35	21	18	24	49	28	16	26	43	41	13	31	36
ENSG00000007516.14	399	299	412	323	424	664	346	509	228	359	410	245	544	623
ENSG00000007520.4	511	626	738	832	1137	1240	649	1173	683	947	920	555	1058	1234
ENSG00000007541.17	597	745	1436	1112	1589	1553	766	1668	996	1517	1812	757	1334	1640
ENSG00000007545.16	45	205	101	78	125	228	73	200	120	296	153	52	94	174
